勘定科目,分類,詳細分類,計算方向,コード(参考)
現金,資産,流動資産,1,101
小口現金,資産,流動資産,1,102
当座預金,資産,流動資産,1,103
普通預金,資産,流動資産,1,104
定期預金,資産,流動資産,1,105
売掛金,資産,流動資産,1,106
クレジット売掛金,資産,流動資産,1,107
受取手形,資産,流動資産,1,108
電子記録債権,資産,流動資産,1,109
商品,資産,流動資産,1,110
前払金,資産,流動資産,1,111
前払費用,資産,流動資産,1,112
未収入金,資産,流動資産,1,113
貸倒引当金,資産,流動資産,-1,114
建物,資産,固定資産,1,201
建物付属設備,資産,固定資産,1,202
車両運搬具,資産,固定資産,1,203
備品,資産,固定資産,1,204
土地,資産,固定資産,1,205
減価償却累計額,資産,固定資産,-1,206
無形固定資産,資産,固定資産,1,207
投資有価証券,資産,投資その他の資産,1,301
長期貸付金,資産,投資その他の資産,1,302
繰延税金資産,資産,投資その他の資産,1,303
買掛金,負債,流動負債,1,401
未払金,負債,流動負債,1,402
未払費用,負債,流動負債,1,403
短期借入金,負債,流動負債,1,404
預り金,負債,流動負債,1,405
前受金,負債,流動負債,1,406
長期借入金,負債,固定負債,1,501
退職給付引当金,負債,固定負債,1,502
資本金,純資産,株主資本,1,601
資本剰余金,純資産,株主資本,1,602
利益剰余金,純資産,株主資本,1,603
自己株式,純資産,株主資本,-1,604
評価・換算差額等,純資産,評価換算差額等,1,701
売上高,収益,売上高,1,901
営業外収益,収益,営業外収益,1,902
特別利益,収益,特別利益,1,903
売上原価,費用,売上原価,1,1001
販売費及び一般管理費,費用,販売費及び一般管理費,1,1002
減価償却費,費用,販売費及び一般管理費,1,1003
貸倒引当金繰入,費用,販売費及び一般管理費,1,1004
営業外費用,費用,営業外費用,1,1005
特別損失,費用,特別損失,1,1006
法人税等,費用,法人税等,1,1007
