日付,借方,貸方,借方金額,摘要,貸方金額
2026-02-16,クレジット売掛金,現金,0,,
2026-02-16,クレジット売掛金,現金,1000,,
2026-02-16,現金,現金,0,,0.0
2026-02-16,現金,現金,500,,500.0
2026-02-16,現金,クレジット売掛金,4,,4.0
2026-02-16,現金,建物,602,,602.0
2026-02-16,現金,売掛金,500,,500.0
2026-02-16,現金,売上高,10000,,10000.0
2026-02-16,当座預金,売上高,10000,,10000.0
2026-02-16,現金,売掛金,500,,500.0
2026-02-16,現金,現金,100,,100.0
2026-02-16,現金,前払費用,500,OK,500.0
2026-02-16,現金,前払費用,500,,500.0
2026-02-16,現金,前払費用,50,,50.0
2026-02-17,現金,前払費用,500,,500.0
2026-02-17,現金,前払費用,500,,500.0
2026-02-17,現金,前払費用,90,,90.0
2026-02-17,現金,前払費用,100,,100.0
2026-02-17,現金,前払費用,500,,500.0
2026-02-16,現金,売上高,100,,100
